Question,Answer
Is this a 4g phone?,"Julio, this isn't LTE 4G. For most people 4G = LTE and all the major carriers are going to LTE Technology for data. In fact you can only really have either 2G or 3G from AT&T or T-mobile or from a service that accepts those type of SIM chips. Hope that answers your question."
This phone works with normal or micro sim card sim card,Dual mini-sim.
Are both SIMs 3G/4G?,Only one of the SIM has 3G/4G capability.
where can I buy screen saver and case,"Hi, Happy New Year! I'm afraid the manufacturer does not make cases or screen protectors for this model, at least I haven't seen any yet."
"If this is an unlocked phone and I have data on my phone, will it work or it only works with WiFi?",The phone works with both data from your network provider and wifi. It actually has an on and off function where you can switch off your networks data if you wanted to.
"good night, I wonder if this phone is unlocked and if it would work for Venezuela, thanks",Funciona perfectamente!
Can additional memory be added? How fast is internet?,"U can add up to 32gb from a micro SD card. Speed is ok,it's all depends on the speed of your internet"
what are the mg of the cameras,5 megapixels with flash/secondary camera VGA
is this a international phone,Yes
Does this case have a front protective cover?,No front protective cover on this one. Just a 2 part rubber/plastic back cover.
do you have to remove cover to charge ipod ?,"My daughter just said no, you don't!"
does this have a screen protector with it?,No
Does this case have a front protective cover to prevent scratches?,Unfortunately no.
Does the case allow you to plug in a headphone jack easily?,Yes it does
Can you charge your iPod with this case on?,Yes
Will this fit an iPod touch 3rd generation?,No only made to fit iPod 4gen
does it fit properly,"I order this case thinking we had an itouch 4 and it didn't fit. We actually had a 5. For sure it didn't fit our 5. However, even if it had, I would have sent it back. It is very poor quality and I don't think it would be worth paying even the smallest amount."
Is there prime,"Thank you for your interest. This item is shipped directly from our warehouse, and Amazon's Prime shipping is not available. Many Thanks, Holly"
will it work with a glass screen protector?,Yes it will. This is a VERY NICE CASE!!!
How long is the shipping and where is it shipped from,"Hello, We are located out of Bastrop, Texas. The shipping time will depend on the shipping method in which you decide to purchase. I have placed a link below with further information on our shipping methods and prices. Let us know if you have any further questions or concerns. Regards, Brandon"
how long would it take to receive it in new york?,Depending on the shipping option you choose. Standard shipping is 3-5 business days not including holidays or processing time which could take up to 24hours. Regards
Where does item ship from?,"Hello, We are located in Bastrop, Texas. A little ways outside of Austin, Texas. Let us know if you have any further questions or concerns. Regards, Brandon"
Does this case have built in screen protector?,"no, it does not."
what is the margin between the edge of the ipad mini and the edge of the glass? how many mm?,It's dead on flush with the original glass screen..best screen cover I've ever used! Also when I put it on I lined it up with the button and let the screen fall into place. No air under it and it bonded perfectly! Hope that helps...
is it compatible with Spigen Mini Retina Case Tough Armor?,Yes.
"Hi, I unfortunately have some dust under the glass, can I take it off and reapply?",They say you can but I didnt have any luck trying it.
About how much bulk does this add to the phone?,"Not much. The only annoyance I found was when I wanted to take pics. Otherwise I love the case. Slides in my pocket at football games, etc and carries my cards and cash."
Is it easy to remove the phone (with the flexible case still attached) from the leather case?,The flexible part of the case does not remove. But the phone removes easily from the case.
Moto X phone has a curved profile of back side. How this case works on it?,Not sure. Ordered two different cases and wife liked the other better so she's using it right now.
Hi there - will this case fit the moto g as well? or do you have one that will? thanks!,No it won't.
About how much bulk does this add to the phone?,"Not much. The only annoyance I found was when I wanted to take pics. Otherwise I love the case. Slides in my pocket at football games, etc and carries my cards and cash."
Is it easy to remove the phone (with the flexible case still attached) from the leather case?,The flexible part of the case does not remove. But the phone removes easily from the case.
Moto X phone has a curved profile of back side. How this case works on it?,Not sure. Ordered two different cases and wife liked the other better so she's using it right now.
Hi there - will this case fit the moto g as well? or do you have one that will? thanks!,No it won't.
"I have a Belkin, very slim case on my iPhone currently (covers the back and sides of phone). Will this fit if I leave that case on?",Ashley it will but it'll be a very tight fit. There's no need for another case once u get this one. There's a case inside of this one that protects the sides as well. I ordered 2 of these and I like them.
Is it easy to take the phone out of the actual case? I don't want an actual cover for my phone so I would like if I could take it out fast?,It seems to be real easy to take the phone out and yet it feels secure when in place. I've popped mine out on several occasions and no problem yet!
"Is it true that this case prevents the flash from working? Also, is there a soft lining that protects the glass screen? Any scratching?","I can't really answer your first and last question because I haven't gotten my phone yet. But for the second question, the diary covers the screen really well and I put this plastic thing in the case to test the scratching to see if my cards would scratch my phone and it was okay. Not much scratching according to my test. But you do get a screen protector which should help that."
Does this come with a strap that attaches to the hole at the top so you can carry it on your wrist?,I tried one...it can work but the case is vinyl so depending on the weight of the strap it may make a crease or bend but it's sturdy so it may not tear. The hole is pretty small as well so the connecter would work best attached to a sturdy jump ring.
"I have a Belkin, very slim case on my iPhone currently (covers the back and sides of phone). Will this fit if I leave that case on?",Ashley it will but it'll be a very tight fit. There's no need for another case once u get this one. There's a case inside of this one that protects the sides as well. I ordered 2 of these and I like them.
Is it easy to take the phone out of the actual case? I don't want an actual cover for my phone so I would like if I could take it out fast?,It seems to be real easy to take the phone out and yet it feels secure when in place. I've popped mine out on several occasions and no problem yet!
"Is it true that this case prevents the flash from working? Also, is there a soft lining that protects the glass screen? Any scratching?","I can't really answer your first and last question because I haven't gotten my phone yet. But for the second question, the diary covers the screen really well and I put this plastic thing in the case to test the scratching to see if my cards would scratch my phone and it was okay. Not much scratching according to my test. But you do get a screen protector which should help that."
Does this come with a strap that attaches to the hole at the top so you can carry it on your wrist?,I tried one...it can work but the case is vinyl so depending on the weight of the strap it may make a crease or bend but it's sturdy so it may not tear. The hole is pretty small as well so the connecter would work best attached to a sturdy jump ring.
note 3 slot for pen?,No
do you have to take your phone out of the case to talk on it.?,No
Does this fit the TMobile Note 3?,I'm sure it would because I think they are the same phone just different carriers.
Does this case fit with the samsung wireless charging cover?,Yes
Are there openings to access the volume keys (on the left-hand side of the phone/center area of case) once the phone is installed?,Yes
Any one know HOW the magnet and use of s-pen issue was resolved? There are still recent reviews raising that as an issue.,I haven't had a problem with magnet or the s-pen.love my case.
will the magnetic closure affect s-pen functionality?,I asked my brother who I gifted it to and he said as long as the screen is facing away from the magnet then it should be fine and you don't permanently mount your note 3 inside the case.
how does the phone fit into the case? (i.e. do you have to remove the back cover of the phone?),Just slips right in. Not hard to put in but won't fall out either.
Is there a place for a lanyard,Yes. I purchased one separately but it changed the whole price of the case...
Some of the leather cases are said to prevent people from using the Google Now voice feature. Does it work on this phone? Thanks!,It works fine for me.
"Is the wallet (cash) compartment big enough to hold a couple of keys (no key ring, just flat keys) without bulging too much?","Maybe one, but with four cards and two bills folded in half it bulges quite a bit. It depends on which color you get too, I bought the brown one for my husband and the mint one for myself. For some reason his closure flap is much bigger than mine is, so it handles the bulk better. Hope this helps! It really is a great little case. They're extremely durable."
Does the interior part of the case separate from the wallet portion?,No
"Will this fit all Moto X, even the 64 GB?","to add to what the previous poster stated; the internal capacity does not affect the external dimensions of the phone, this case will fit all models of the current Moto X"
Is this for the first generation Moto X or the second generation Moto X?,I believe mine is first generation and fits prefect
Would it fit a 2nd gen moto x?,No it didn't fit my phone. I purchased a VENA case.
Can you use the OK Google Now feature while the case is on but open? What about the camera? Does it have complete functionality?,Yes and yes
Some of the leather cases are said to prevent people from using the Google Now voice feature. Does it work on this phone? Thanks!,It works fine for me.
"Is the wallet (cash) compartment big enough to hold a couple of keys (no key ring, just flat keys) without bulging too much?","Maybe one, but with four cards and two bills folded in half it bulges quite a bit. It depends on which color you get too, I bought the brown one for my husband and the mint one for myself. For some reason his closure flap is much bigger than mine is, so it handles the bulk better. Hope this helps! It really is a great little case. They're extremely durable."
Does the interior part of the case separate from the wallet portion?,No
"Will this fit all Moto X, even the 64 GB?","to add to what the previous poster stated; the internal capacity does not affect the external dimensions of the phone, this case will fit all models of the current Moto X"
Is this for the first generation Moto X or the second generation Moto X?,I believe mine is first generation and fits prefect
Would it fit a 2nd gen moto x?,No it didn't fit my phone. I purchased a VENA case.
Can you use the OK Google Now feature while the case is on but open? What about the camera? Does it have complete functionality?,Yes and yes
Will this case fit the 5s?,"They are pretty similar in in size, so I tried it on on my niece's iPhone 5s, and it fits..."
Where can a carrying strap for this case be purchased?,This case came with one.
Do people have problems taking photos?,"I did not use the case a lot, but it is possible to take photos. Not sure if it would cause a bit of a shadow around the lens, however."
does just the case come out?,No the case is attatched.
does it have a carrying strap,"No it doesn't come with one. However, it does have an opening for standard strap usuage."
Does it have a key chain hole on the side?,"Yes, this phone case has a chain hole on the side."
is this compatible with iPhone 5? not 5c or 5s,It fits all of them !! It's worth buying
Will this case fit the 5s?,"They are pretty similar in in size, so I tried it on on my niece's iPhone 5s, and it fits..."
Where can a carrying strap for this case be purchased?,This case came with one.
Do people have problems taking photos?,"I did not use the case a lot, but it is possible to take photos. Not sure if it would cause a bit of a shadow around the lens, however."
does just the case come out?,No the case is attatched.
does it have a carrying strap,"No it doesn't come with one. However, it does have an opening for standard strap usuage."
Does it have a key chain hole on the side?,"Yes, this phone case has a chain hole on the side."
is this compatible with iPhone 5? not 5c or 5s,It fits all of them !! It's worth buying
Does this case come with a strap? If not has anyone attached their own strap with it?,No it does not I order separately but I wouldn't advise using a strap they are not sturdy enough for this phone this phone way to expensive to be dangling from a stap... But that's my opinion
Does this fit the Note 3 Neo?,No
would it fit my galaxy note 2?,I not sure of what size but if you look on the back of your device and see that the camera is not up at the top and the squares would not match then it wouldn't fit. Another idea would you be to do a measurement. Have a great day
Does add much weight to the Note 3,No it is very light weight no more than any other case
does the magnet interfere with using the s-pen?,"No, not at all."
What is the material? Is it leather or vegan?,A material can't be vegan. But it's leather. It doesn't get dirty if that's what you're talking about.
How protected is it from being dropped? Will the screen crack? Can the sides get chipped or scratced as well?,"I'd hate to have to actually ""test"" this product with my new phone, but it's a very secure hard plastic shell which is in cased in a faux leather-like billfold flip cover. Appears to me you'd have to have the cover open and slam it on a pretty hard surface to possibly do any damage so I'm pretty confident of its impact safety. Sides and back are completely secure. With glass there's always a chance of cracking but the screen protector that comes with it is a slight deterrent."
do i have to take off the back case of my phone to use the case?,No. it just pops right in and stays.
can i take photos with cover on,"Yes, as long as you hold open the front wallet flap."
Will this case fit my US Cellular note 3 SM-N900R4? Thanks! :),Most carriers have same phone dimensions. Only slight differences if any at all . Can look yours up..manual or website and match before purchasing. I bought the one I use for the sake having one. It turned out to function very well for now. Not a lot of$ $o
What is the difference in the Galaxy Note 3 &amp; the Note 3 N9000? Will both fit this wallet?,"Its the same in size. You can google the or check wiki. I believe one of them is international. The difference is not the size, but if it support 4G service from your phone carrier."
"Will this case fit the Note 3 that is being sold now (May 2014)? I had purchased a Note 3 case but it was too small, fit an S5, and had to return it.",Yes. I bought this for my note 3 and it fits perfect.
"When opening the case to serve as a stand, what keeps it open and not sliding out of place? Does the flap reconnect with the case to keep it open?",Yes it does
Can this be used with a car mount holder without having to take out from the case?,"Unlikely. However, the phone can be easily and quickly removed from the case."
"Most of the reviews say that the Magnet ""interferes"" with the S-Pen. How accurate are they? And does the interference lead to permanent damage?",No it does not interfere with the S Pen. I have had this case for about 6 months now and I never experienced any problems with my S Pen.
What is the material? Is it leather or vegan?,A material can't be vegan. But it's leather. It doesn't get dirty if that's what you're talking about.
How protected is it from being dropped? Will the screen crack? Can the sides get chipped or scratced as well?,"I'd hate to have to actually ""test"" this product with my new phone, but it's a very secure hard plastic shell which is in cased in a faux leather-like billfold flip cover. Appears to me you'd have to have the cover open and slam it on a pretty hard surface to possibly do any damage so I'm pretty confident of its impact safety. Sides and back are completely secure. With glass there's always a chance of cracking but the screen protector that comes with it is a slight deterrent."
do i have to take off the back case of my phone to use the case?,No. it just pops right in and stays.
can i take photos with cover on,"Yes, as long as you hold open the front wallet flap."
Will this case fit my US Cellular note 3 SM-N900R4? Thanks! :),Most carriers have same phone dimensions. Only slight differences if any at all . Can look yours up..manual or website and match before purchasing. I bought the one I use for the sake having one. It turned out to function very well for now. Not a lot of$ $o
What is the difference in the Galaxy Note 3 &amp; the Note 3 N9000? Will both fit this wallet?,"Its the same in size. You can google the or check wiki. I believe one of them is international. The difference is not the size, but if it support 4G service from your phone carrier."
"Will this case fit the Note 3 that is being sold now (May 2014)? I had purchased a Note 3 case but it was too small, fit an S5, and had to return it.",Yes. I bought this for my note 3 and it fits perfect.
"When opening the case to serve as a stand, what keeps it open and not sliding out of place? Does the flap reconnect with the case to keep it open?",Yes it does
Can this be used with a car mount holder without having to take out from the case?,"Unlikely. However, the phone can be easily and quickly removed from the case."
"Most of the reviews say that the Magnet ""interferes"" with the S-Pen. How accurate are they? And does the interference lead to permanent damage?",No it does not interfere with the S Pen. I have had this case for about 6 months now and I never experienced any problems with my S Pen.
Does the Moto x (1st generation) fi?,"Yes, it fits perfectly."
Does this come with a wrist strap?,No.
I have a moto x(2nd generation) phone. Will this fit it ? Im unable to find wallet case for my model at all in amazon. Please advise.,No
"There seems to be conflicting information in the description. Is this case made from leather, PU leather, or faux leather?",It's definitely not real leather. I would say its more of a PU leather/faux leather. I've had it now for a couple of months and I really like it.
Can I use a tempered glass screen protector in place of th eone provided? Will it still fit this case?,"Yes, you can. Actually my Cellto premium x came without the promised screen proctector and I had to use another one."
Other darker color choices at the 2.99 price?,The cases at the moment are at $6.99 each.
Is there a physical difference between the Moto X from US Cellular and the Google Moto X?,What we know is that all three are the same size.
Does the Moto x (1st generation) fi?,"Yes, it fits perfectly."
Does this come with a wrist strap?,No.
I have a moto x(2nd generation) phone. Will this fit it ? Im unable to find wallet case for my model at all in amazon. Please advise.,No
"There seems to be conflicting information in the description. Is this case made from leather, PU leather, or faux leather?",It's definitely not real leather. I would say its more of a PU leather/faux leather. I've had it now for a couple of months and I really like it.
Can I use a tempered glass screen protector in place of th eone provided? Will it still fit this case?,"Yes, you can. Actually my Cellto premium x came without the promised screen proctector and I had to use another one."
Other darker color choices at the 2.99 price?,The cases at the moment are at $6.99 each.
Is there a physical difference between the Moto X from US Cellular and the Google Moto X?,What we know is that all three are the same size.
is this convienent to leave the phone in when texting and talking or more just to carry it in in your pocket. so u would need to take it out to use it,For me it is. Since the case is able to fold it isn't in the way at all.
"Has anyone bought the white cover and if so, for how long did it actually stay white and was it easy to clean after the white became dirty?",Hi. I bought the green but I can tell you the material should be very easy to clean. Use a wet cloth w a bit of kitchen soap :)
Does this item come with a string you can attach for your wrist?,"It has an opening for a wrist strap, however, we will sell them separately in just about a week for those who would like that option since not everyone likes to have one. Hope this helps everyone! Thank you!"
Are you able to still talk on the phone while the cover is closed?,yes i just tried it and it works .. super
Can the inner case be removed from the wallet portion? Does the magnet hold the inner case in place or is it connected to the wallet?,Nothing can be removed but the magnet hold the wallet park to stand it up. I love this case
"what color do you recommend for my blue iPhone 5c, this looks great, ready to purchase.",Go with mint and purple!
"What does ""slim fit"" mean? The black one doesn't say that. Thank you.",I believe it just means it has a slim design. It is not a fat case as some you can overstuff this is not one of those if you do it will not hold up. I can put my license and 1-2 cards in it. Hope that helps
is is easy to put on,Yes
"Hi, I was wondering if there was a pocket for money anywhere?",Yes
Has anyone had trouble with the magnet demagnetizing your credit/debit cards?,I've only had it a few weeks but no!
is this convienent to leave the phone in when texting and talking or more just to carry it in in your pocket. so u would need to take it out to use it,For me it is. Since the case is able to fold it isn't in the way at all.
"Has anyone bought the white cover and if so, for how long did it actually stay white and was it easy to clean after the white became dirty?",Hi. I bought the green but I can tell you the material should be very easy to clean. Use a wet cloth w a bit of kitchen soap :)
Does this item come with a string you can attach for your wrist?,"It has an opening for a wrist strap, however, we will sell them separately in just about a week for those who would like that option since not everyone likes to have one. Hope this helps everyone! Thank you!"
Are you able to still talk on the phone while the cover is closed?,yes i just tried it and it works .. super
Can the inner case be removed from the wallet portion? Does the magnet hold the inner case in place or is it connected to the wallet?,Nothing can be removed but the magnet hold the wallet park to stand it up. I love this case
"what color do you recommend for my blue iPhone 5c, this looks great, ready to purchase.",Go with mint and purple!
"What does ""slim fit"" mean? The black one doesn't say that. Thank you.",I believe it just means it has a slim design. It is not a fat case as some you can overstuff this is not one of those if you do it will not hold up. I can put my license and 1-2 cards in it. Hope that helps
is is easy to put on,Yes
"Hi, I was wondering if there was a pocket for money anywhere?",Yes
Has anyone had trouble with the magnet demagnetizing your credit/debit cards?,I've only had it a few weeks but no!
Any tips for how to put the screen protector on without bubbles? My protector has bubbles and the edges won't stay down.,Use hand sanitizer to clean screen then start at the top with the screen protector have a bank card to use to glide the screen protector on smooth over and over
Does this case muffle your voice when talking? Someone told me my voice is muffled when I am talking with them with the case on.,"I did not notice this, but you can't take flash photos with the cover on"
Does this phone case have any metal and/or plastic? Wanna make sure it'll last before I purchase this product.,It's all plastic. I've had it for a month and a half and it has worn well with no cracks or breaks. I've even gotten the case wet--phone survived--and after it dried it looked just the same.
Hey guys does this case fit iphone 5s too?Because the same colour case for 5S is $2 more... Thanks in advance for answers ;-),I don't think it will. The 5s is really a different size than the 5c.
Any tips for how to put the screen protector on without bubbles? My protector has bubbles and the edges won't stay down.,Use hand sanitizer to clean screen then start at the top with the screen protector have a bank card to use to glide the screen protector on smooth over and over
Does this case muffle your voice when talking? Someone told me my voice is muffled when I am talking with them with the case on.,"I did not notice this, but you can't take flash photos with the cover on"
Does this phone case have any metal and/or plastic? Wanna make sure it'll last before I purchase this product.,It's all plastic. I've had it for a month and a half and it has worn well with no cracks or breaks. I've even gotten the case wet--phone survived--and after it dried it looked just the same.
Hey guys does this case fit iphone 5s too?Because the same colour case for 5S is $2 more... Thanks in advance for answers ;-),I don't think it will. The 5s is really a different size than the 5c.
does this fit the ipad mini 1 or just the 2?,This will fit both versions iPad mini 1 and 2. Thank you!
"Does this scratch the back of the ipad? I placed my order, but I cannot tell if this is silicone or hard plastic, I don't want to scratch it up. Thx!","It's a softer plastic, personally I haven't any issues with scratching. I got it the day after I purchased my minni, and it still looks like I just brought it out of the original packaging, this case dose a fine job! Hope this helped :)"
Does this have a magnet for the sleep and wake function? Thats my only concern for this product.,No it doesn't
does this fit the ipad mini 1 or just the 2?,This will fit both versions iPad mini 1 and 2. Thank you!
"Does this scratch the back of the ipad? I placed my order, but I cannot tell if this is silicone or hard plastic, I don't want to scratch it up. Thx!","It's a softer plastic, personally I haven't any issues with scratching. I got it the day after I purchased my minni, and it still looks like I just brought it out of the original packaging, this case dose a fine job! Hope this helped :)"
Does this have a magnet for the sleep and wake function? Thats my only concern for this product.,No it doesn't
"Hi Guys, wondering how does this case feel like when the top cover is folded all the way back. Does it lay flat on the back ? is it bulky? Thank you",Yes we liked
"The product description indicates that the case is for the Galaxy Note 3, but the reviews all seem to reference the S 4. Which is correct?",S4
"Doesn't the magnets in the cover affect the magnetic strips of the credit cards, wiping them out?",I keep two credit cards in the cover all the time. It has not had any effect on my credit cards.
I have a Samsung Galaxy 10.1. What size cover do I need 3 or 4,"You need a 10"" cover for a 10"" Samsung galaxy"
Is it easy to get in and out of jean pockets?,"The case is slim, not bulky."
"Several reviewers have mentioned problem with their screens when using this case on the samsung galaxy note 3, due to the magnet. Have you noticed it?","No, the magnet has not been an issue with my screen."
dose this have a slot for the s pen?,Nope
note,For s4
"How many cards can the slots hold, without deforming the case, or making it too awkward? Can you put multiple cards in each slot?",I have about two cards in each slot. It makes the case a bit bulky but it still closes no problem. So the answer is yes you can put more than one in each slot.
"Is anybody else having issues with the note 3 case, using the USB 3.0 charging cable. It doesn't fit.",I have a s4 & mine works fine so idk
how long does shipping take?,Standard shipping in USA takes about 2-7 business days
Is the case that the phone sits in a hard plastic or a soft gel like case?,It's not hard at all. It's flexible with a soft exterior.
is it made of leather or vinyl?,"Vinyl, for $6.99 what do you expect. It is a really nice cover though."
Does it come with a strap so you can wear as a wristlet?,No
"I know it does not come with a lanyard, but the pictures look like there is a hole to put a lanyard in, has anyone tried that?",I haven't tried that but there is a hole that might be suitable for a lanyard.
Does this case allow access to the note 3 stylus?,Yes it does but after repetitive use the cutout starts to bend out making the case very unattractive. I don't use the S pen much but from other reviews apparently the magnet in the case may cause issues with using the S pen.
Do the magnet on this case interfere with the air command feature for the note 3 (The pop up command that appears using the S pen)?,"Yes, it is not working in the area near and around the magnets."
does it automatically close the phone when the case closes? thanks!,"No, it doesn't."
"For the Note 3 case, I see slots for 3 credit cards in the picture. Is there also a place to put dollar bills?",Yes there is a sleeve behind the card slots to fit bills in. One of the many features that makes this case awesome!
"Does this case have the sleep/wake function? For example, if I close it, it puts the phone to sleep, If I open it it wakes it up.",No it doesnt
how long does shipping take?,Standard shipping in USA takes about 2-7 business days
Is the case that the phone sits in a hard plastic or a soft gel like case?,It's not hard at all. It's flexible with a soft exterior.
is it made of leather or vinyl?,"Vinyl, for $6.99 what do you expect. It is a really nice cover though."
Does it come with a strap so you can wear as a wristlet?,No
"I know it does not come with a lanyard, but the pictures look like there is a hole to put a lanyard in, has anyone tried that?",I haven't tried that but there is a hole that might be suitable for a lanyard.
Does this case allow access to the note 3 stylus?,Yes it does but after repetitive use the cutout starts to bend out making the case very unattractive. I don't use the S pen much but from other reviews apparently the magnet in the case may cause issues with using the S pen.
Do the magnet on this case interfere with the air command feature for the note 3 (The pop up command that appears using the S pen)?,"Yes, it is not working in the area near and around the magnets."
does it automatically close the phone when the case closes? thanks!,"No, it doesn't."
"For the Note 3 case, I see slots for 3 credit cards in the picture. Is there also a place to put dollar bills?",Yes there is a sleeve behind the card slots to fit bills in. One of the many features that makes this case awesome!
"Does this case have the sleep/wake function? For example, if I close it, it puts the phone to sleep, If I open it it wakes it up.",No it doesnt
Does the wallet get in the way when using as a phone?,No. I used it as a wallet today and the magnet keeps it folded together or open while your on the phone. You won't be disappointed!
Does it fit the new note 3 5.7 inch screen phone,"Perfect ,I like this case very much"
Does this come with a wrist strap?,No. It didn't
For those who've purchased white...how is the soil factor? Thinking about grime and skin oils tinting the color.,I use hand sanitize to clean my case
Does the magnet interfere with the S pen functionality?,"No it actually is wonderful, no interference."
Will it fit the new Moto x?,I don't see why it wouldn't. I've never seen the new moto x but if its similar to the old one it should. I would try it and see but be sure to check the return policy before just incase you get it and it doesn't fit.
