prompt,response
Can I return a product if I changed my mind?,"Yes, you can return a product if you changed your mind. Please ensure the product is in its original condition and packaging, and refer to our return policy for instructions."
Do you offer live chat support?,"Yes, we offer live chat support on our website during our business hours. Look for the chat icon in the bottom right corner to initiate a chat with our customer support team."
Can I order a product as a gift?,"Yes, you can order a product as a gift and have it shipped directly to the recipient. During the checkout process, you can enter the recipient's shipping address."
What should I do if my discount code is not working?,"If your discount code is not working, please double-check the terms and conditions associated with the code. If the issue persists, contact our customer support team for assistance."
Can I return a product if it was a final sale item?,Final sale items are usually non-returnable and non-refundable. Please review the product description or contact our customer support team to confirm the return eligibility for specific items.
Do you offer installation services for your products?,Installation services are available for select products. Please check the product description or contact our customer support team for more information and to request installation services.
Can I order a product that is discontinued?,Discontinued products are no longer available for purchase. We recommend exploring alternative products on our website.
Can I return a product without a receipt?,A receipt or proof of purchase is usually required for returns. Please refer to our return policy or contact our customer support team for assistance.
Can I order a product for delivery to a different country?,"Yes, we offer international shipping to select countries. Please review the available shipping destinations during checkout or contact our customer support for assistance."
Can I add a gift message to my order?,"Yes, you can add a gift message during the checkout process. There is usually a section where you can enter your personalized message."
Can I request a product demonstration before making a purchase?,"We do not currently offer product demonstrations before purchase. However, you can find detailed product descriptions, specifications, and customer reviews on our website."
Can I order a product that is listed as 'coming soon'?,Products listed as 'coming soon' are not available for immediate purchase. Please sign up for notifications to be informed when the product becomes available.
Can I request an invoice for my order?,"Yes, an invoice is usually included with your order. If you require a separate invoice, please contact our customer support team with your order details."
Can I order a product that is labeled as 'limited edition'?,'Limited edition' products may have restricted availability. We recommend placing an order as soon as possible to secure your item.
Can I return a product if I no longer have the original packaging?,"While returning a product in its original packaging is preferred, you can still initiate a return without it. Contact our customer support team for guidance in such cases."
Can I request a product that is currently out of stock to be reserved for me?,"We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when it becomes available again."
Can I order a product that is listed as 'pre-order' with other in-stock items?,"Yes, you can place an order with a mix of pre-order and in-stock items. However, please note that the entire order will be shipped once all items are available."
Can I return a product if it was damaged during shipping?,"If your product was damaged during shipping, please contact our customer support team immediately. We will guide you through the return and replacement process."
Can I request a product that is out of stock to be restocked?,We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.
Can I order a product if it is listed as 'backordered'?,Products listed as 'backordered' are temporarily out of stock but can still be ordered. Your order will be fulfilled once the product is restocked.
Can I return a product if it was purchased during a sale or with a discount?,"Yes, you can return a product purchased during a sale or with a discount. The refund will be processed based on the amount paid after the discount."
Can I request a product repair or replacement if it is damaged?,"If you receive a damaged product, please contact our customer support team immediately. We will assist you with the necessary steps for repair or replacement."
Can I order a product if it is listed as 'out of stock' but available for pre-order?,"If a product is available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available."
Can I return a product if it was purchased as a gift?,"Yes, you can return a product purchased as a gift. However, refunds will typically be issued to the original payment method used for the purchase."
Can I request a product if it is listed as 'discontinued'?,"Unfortunately, if a product is listed as 'discontinued,' it is no longer available for purchase. We recommend exploring alternative products on our website."
Can I order a product if it is listed as 'sold out'?,"If a product is listed as 'sold out,' it is currently unavailable for purchase. Please check back later or sign up for notifications when it becomes available again."
Can I return a product if it was purchased with a gift card?,"Yes, you can return a product purchased with a gift card. The refund will be issued in the form of store credit or a new gift card."
Can I request a product if it is not currently available in my size?,"If a product is not available in your size, it may be temporarily out of stock. Please check back later or sign up for size notifications."
Can I order a product if it is listed as 'coming soon' but available for pre-order?,"If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available."
Can I return a product if it was purchased with a discount code?,"Yes, you can return a product purchased with a discount code. The refund will be processed based on the amount paid after the discount."
Can I request a custom order or personalized product?,We do not currently offer custom orders or personalized products. Please explore the available products on our website.
Can I order a product if it is listed as 'temporarily unavailable'?,"If a product is listed as 'temporarily unavailable,' it is out of stock but may be restocked in the future. Please check back later or sign up for notifications."
Can I return a product if it was damaged due to improper use?,Our return policy generally covers products that are defective or damaged upon arrival. Damage due to improper use may not be eligible for a return. Please contact our customer support team for assistance.
Can I request a product if it is listed as 'coming soon' but not available for pre-order?,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase."
Can I order a product if it is listed as 'on hold'?,"If a product is listed as 'on hold,' it is temporarily unavailable for purchase. Please check back later or sign up for notifications when it becomes available."
Can I return a product if I no longer have the original receipt?,"While a receipt is preferred for returns, we may be able to assist you without it. Please contact our customer support team for further guidance."
Can I request a product that is listed as 'limited edition' to be restocked?,"Once a limited edition product is sold out, it may not be restocked. Limited edition items are available for a limited time only, so we recommend purchasing them while they are available."
Can I order a product if it is listed as 'discontinued' but still visible on the website?,"If a product is listed as 'discontinued' but still visible on the website, it may be an error. Please contact our customer support team for clarification."
Can I return a product if it was a clearance or final sale item?,Clearance or final sale items are typically non-returnable and non-refundable. Please review the product description or contact our customer support team for more information.
Can I request a product if it is not listed on your website?,"If a product is not listed on our website, it may not be available for purchase. We recommend exploring the available products or contacting our customer support team for further assistance."
Can I order a product if it is listed as 'out of stock' but available for backorder?,"If a product is listed as 'out of stock' but available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available."
Can I return a product if it was purchased as part of a bundle or set?,"If a product was purchased as part of a bundle or set, the return policy may vary. Please refer to the specific terms and conditions or contact our customer support team for further guidance."
Can I request a product that is listed as 'out of stock' to be restocked?,We aim to restock popular products whenever possible. Please sign up for product notifications to be alerted when the item becomes available again.
Can I order a product if it is listed as 'coming soon' and available for pre-order?,"If a product is listed as 'coming soon' and available for pre-order, you can place an order to secure your item before it becomes available."
Can I return a product if it was damaged due to mishandling during shipping?,"If your product was damaged due to mishandling during shipping, please contact our customer support team immediately. We will assist you with the necessary steps for return and replacement."
Can I request a product that is listed as 'out of stock' to be reserved for me?,"We do not offer reservations for out-of-stock products. However, you can sign up for product notifications to be alerted when the item becomes available again."
Can I order a product if it is listed as 'pre-order' but available for backorder?,"If a product is listed as 'pre-order' and available for backorder, you can place an order to secure your item. The product will be shipped once it becomes available."
Can I return a product if it was purchased with store credit?,"Yes, you can return a product purchased with store credit. The refund will be issued in the form of store credit, which you can use for future purchases."
Can I request a product that is currently out of stock to be restocked?,We strive to restock popular products whenever possible. Please sign up for product notifications to be informed when the item becomes available again.
Can I order a product if it is listed as 'sold out' but available for pre-order?,"If a product is listed as 'sold out' but available for pre-order, you can place an order to secure your item. The product will be shipped once it becomes available."
Can I return a product if it was purchased with a promotional gift card?,"Yes, you can return a product purchased with a promotional gift card. The refund will be issued in the form of store credit or a new gift card."
Can I request a product if it is not currently available in my preferred color?,"If a product is not available in your preferred color, it may be temporarily out of stock. Please check back later or sign up for color notifications."
Can I order a product if it is listed as 'coming soon' and not available for pre-order?,"If a product is listed as 'coming soon' but not available for pre-order, you will need to wait until it is officially released and becomes available for purchase."
Can I return a product if it was purchased during a promotional event?,"Yes, you can return a product purchased during a promotional event. The refund will be processed based on the amount paid after any applicable discounts."
will they fit 2013 f350 dually,"It's all custom mounting, where there's a will there's a way, don't see why not, figure 15minutes per mud flap, there isn't any hardware included just the stamped sheet metal pieces"
will they fit 2014 mazda 3 sport?,"You will need to drill another hole in Mud flap & bed frame for added stability.  the added bolt & nut makes it a tighter fit, you only get two existing holes on the bed frame with plastic mud flaps when you bought the truck.  These Dee Zee flaps are much heavier than the plastic/rubber flaps originally provided on truck."
Do they fit a 1998 GMC Sierra 3 door?,"It's been a while since I installed them, but I don't think any installation hardware is included."
will this work on 95 bonneville and 94 camaro,1 pair rear flaps and mounting hardware.
will this fit a 1996 4 winns 238 vista 5.0 w/volvo sx drive?,I didn't buy these for myself I bought them for our son-in-law for a Christmas gift but I think they came with the hardware.
I have a Jeep Wrangler X with a P225/75/R15 spare tire.  What size would give the best fit without any sagging?  Small?  Medium?,no
is it easy to install?,"Not sure, maybe measuring width of wheels and width of flaps.  Sorry I couldn't be more help."
Will these work on a 2004 Ford Explorer?,"They will fit the front, but will be to skinny to cover both rear wheels."
Is the squeeze better or is the aerosol better to use for the filters?,"Unfortunately, they kept sending the wrong size to me so I never got to use them so I can't help you. Sorry!"
i nid rear wiper for toyota 4 runner 2001 it is work or not? pliese give to me answer thenks,At highway speed yes but around town it is not bad
quanity on contionous basis  ?  Decibles  ? 800>800<1422,"You have to be sure the tape on the visor seals all the way down the window. No space left open, look under the visor and be sure there is no opening all the way down. If you see a opening tape it immediately."
What parts do I need to completely replace my Atwood water heater with a new DSI G6A-8E heater and what is included with the above unit?,VERY dark gray...almost black.
what is the maximum amp  capacity of the wires,They sure appear to be dark grey to me...fit nice too!!
What inside diameter is the hose?  I can't find it in the descripton.,More towards black than grey
Will it fit a new 2014 MINI Cooper hartop?,No these are for a truck
How far apart are the mounting brackets?,I don't know the one's that you sent me where the rong one's i sent them back and canceled the order.
Can you get the extra wires needed on amazon?,No this was for a hyundai
Distance between the very bottom of the flap and the bottom of the 'upward curve' of the flap?,"No, this was for a truck. Good advice is to make sure the model is listed on the item. I returned it since it didn't fit my car."
Will it have Mirror pockets,"Not sure, but I think no because these are for third generation a 2000 should be second generation"
can i use 46155 Taillight Converter Universal Kit. for 2005 Infiniti FX35,"I have a ram 2007 2500 quad, they fit it fine I am not sure about yours."
Does this fit jeep liberty,no they will not fit refund my money please
water spots,Search function for the Ventshade indicates that it will not fit a Mazda 3 Sport.
"Does the piloted reamer tap have a 3/8"" socket hole inside the top nut section?",sorry I do not know
what are the dimensions,No
Can it be used on interior trim?,Nope
can this be used on hybrid vehicles,I have the same configuration vehicle. The vent shades are a perfect match for the factory origonals that came with the truck.
can you get replacement filters from your local autoparts store?,"I have a 1998 Cheyenne Ext Cab. The Ventshades fit very well, The front fit inside the Window Channel,The Rear are Adhesive and stick on the outside of the Rear Cab Window,assuming the Rear Window width is the same between 95 & 98, mine fit very well,and the depth of the Rear Shades are adequate to open Rear Vent and latch it open. Good Choice!!"
what is the weight limit for putting stuff on your roof?,If you order the one for your model truck they fit like a glove. Perfect and the lenght  is  exactly the right size .
will this work on a 99 chevy S-10   2.2L motor,"No idea of length,But mine fit right out the box !1989 GMC Extended Cab"
these are eletric and not mechanacal right?,I have a 94 extended cab and the back two fit perfectly.
how many you need for one car,yes they will fit these went on a 94 extended cab
will this 1805 directly replace a old 600cfm Edelbrock 1406?,I used them on my 1994 and fit perfectly also know they are wide so you can still open the back windows
Will this lamp fit a 1988 Honda Goldwing 1500?,Yes they will if you u e the pop-out windows. It looks a bit funny though. I just put the front ones on instead if all 4.
does this work for hail dings,Yes
how many gallons will it hold ?.,Yup I have the 1998 Chevy Silverado 3 door z71 and they fit great you can even open up the rear side windows without it hitting the vents.
chipped glass?,Yes
Can they be used on a class A motorhome?,It will work on obd 1 pre 95 and obd2 after 95
Will it fit a BMW X1?,"Hi Dave:Sorry, but it won't; it claims to be able to work on any OBD1 or OBD2, but it only works on the OBD2 cars... for the life of me, I couldn't get it to work on my 1990 Ford F-250; I can't even get onto their site, to look for software..."
What is the difference between MOUNT 7 and MOUNT 2?  This part number on the Curt website doesn't offer these confusing options.,"this unit comes with a variety of connectors.  You might check under your dash for the connection slot, check the size and pin configuration.  I have a 1992 S-10 pickup.  I bought this unit for my brother, and he reports that I should be able to use it on my pickup (haven't tried).I have considered buying a unit like this for my own use.  It has saved my brother and father a lot of needless repair dollars.If you do buy this or a different unit, you might want to buy one of the two books that cover the display codes (the books are sold on Amazon)."
Does this fit a LEXUS 2003 GX470,"it is obd 1 and obd 2 compatable the kit has a variety of adapters, I use it on my 95 chevy s10"
will it fit a 94 dodge ram 1500,Yes it will.
how many pads are in the box,It should    I don't have mine right now to check   My  son uses it at the mechanics shop
Does this come with nuts and bolts?,OBD2 started in 1996 but I read some 1994 and 1995 cars have OBD2 . This scanner says it does OBD 1 and 2 so it should work
which rwrrminanwhich terminal disconnect pos or neg,yes it will work its OBD-I and OBD-II
Can i use this on tire walls?? Is this good for leather seats?,"Hi Tom:this product will only work cars with OBD-2; despite what the AD' says... OBD-2 came out in 1995, so make your SURE car is OBD-2; because some '95 cars will be OBD-1, naturally...hope this helped..."
is this for passanger side windshield on a 2007 accord exl,I bought this as a gift for my brother. He LOVES it.  It has already saved him money in repairs to his car.Marc Unger's answer is correct.  It has a variety of adapters.  My brother has used it on 3 of his cars (all of them date from latter 1990's to early 2000's).  The Auto Scanner is definitely worth the price.  Hope that helps.
Any problems with mosquitoes getting in through the bed cap seal or tailgate?,"That unit will do OBD I and II, pre-96 vehicles are OBD I so you need OBD I.  I dont have time right now but you could get on the Actron website and look in the manual. You can also call them with questions. I did that before I bought my Actron. one note, my Actron screen went white (like another reviewers), they said they couldnt fix it. so im not a fan of Actron. I have had better luck with the Innovas. I have had 4 of those. I left my Actron in my truck so it probably got frozen and messed up the screen. I leave the Innovas in the truck and had no issues. If you get the Actron, just store it inside and you will hopefully not have a problem.



    That unit will do OBD I and II, pre-96 vehicles are OBD I so you need OBD I. I dont have time right now but you could get on the Actron website and look in the manual. You can also call them with questions. I did that before I bought my Actron. one note, my Actron screen went white (like another reviewers), they said they couldnt fix it. so im not a fan of Actron. I have had better luck with the Innovas. I have had 4 of those. I left my Actron in my truck so it probably got frozen and messed up the screen. I leave the Innovas in the truck and had no issues. If you get the Actron, just store...
      » 
Read More


   That unit will do OBD I and II, pre-96 vehicles are OBD I so you need OBD I.  I dont have time right now but you could get on the Actron website and look in the manual. You can also call them with questions. I did that before I bought my Actron. one note, my Actron screen went white (like another reviewers), they said they couldnt fix it. so im not a fan of Actron. I have had better luck with the Innovas. I have had 4 of those. I left my Actron in my truck so it probably got frozen and messed up the screen. I leave the Innovas in the truck and had no issues. If you get the Actron, just store it inside and you will hopefully not have a problem.
      « 

Show Less"
"HI,  are these sold individually or as a set for the price listed?  Thanks",It works for my 95 S10 Chevy fine and comes with the adapters as well used it.on my 2002 mustang
how to hook it up,The scanner has a connection for OBD I computers and should work. OBD II for 96 and newer.
"It appears that this will also fit the 1998-2002 Cevy Prizm, correct?","Hi Kris;the change over point was 1995!! it depends on when in '95 your car was made; OBD-2 was introduced at some point in '95... if your car has the OBD-1 system, you may very likely have the same problem like me; it just ""MAY NOT"" even recognize your car, let alone read it... before answering you, I looked at some of the other reports and several of them have the same problems with their pre '95 cars...  hope I helped!!regards,Adams"
gap,"When I bought my CP9150 kit in 2008, I used it on my '95 Mercury Cougar (OBDII) and my '91 Oldsmobile Bravada (OBDI) with no problems. Before 1996, most GM vehicles used the ALDL cable kit for OBDI computers. In ""94 and '96 certain GM vehicles used the J1962 DLC. I do not know which vehicles these are. But this kit should work on either connector in your car(s). Both of these adapter cables come in the CP9150 kit, along with a few others. I hope this helps. There may be better scanner/readers out there but I'm happy with this one."
Will this product work to repair a cast iron hot water radiator?,Yes it will
"Product description says 6 per case.  You get 1 bottle, riight?",Yes it will. I have installed 2 on gen 1 alphas
how do you double coat i layer of 845 first? then this product?,I purchased this for my Gen 1 and it worked perfectly
can I use it with Royal Purple Synthetic Motor Oil?,This will only fit a mercruiser alpha one stern drive
this is only for honda?,This was for my 1988 Mercruiser Alpha one
Does it come in a box?,"I don't know, but google this and someone will know. Good luck."
I have a coleman A/C model 6250d907. This is a very old unit. Will this cover fit what I have?,"Hi Charlie, Please use this chart provided by the manufacturer to determine which size and part number you need:http://www.bestop.com/component/products/?view=product&id;=31Thanks, KristenInternet Sales"
Does it need a blowout plug?,You will need a 61031-15
"Can I mount the blanket and then put a 2"" thick stroyfoam pad  next to it without it melting?",The part number you wabt to order is 61031-15. Thanks Daniel
"Does the purchase include both parts, the trailer and the car plug?",Yes that is the one you need.
Does this gauge work with both presta and shraeder valves? I am looking for a gauge that measures low pressure accurately for use with the presta valves on my fat bike.,"Yes, tight thread like a canvas tent."
Does this come with a Solenoid valve?,"Don't know about water""proof"" but very resistant."
What's the diameter of this pan?,Yes it has like a waxy finish so it repels the water to a point
does this wook on fiber glass,"I am currently traveling and will not be home till Thursday morning. I don't know the tire size on my jeep wrangler without looking but I can look and send you another email after I verify my tire size. When I bought my tire cover I bought the XLarge first but I could not get it on the tire. I then bought the Bestop 61033-35 Black Diamond XX-Large Tire Cover for tires 33"" diameter, 13"" deep. This fit perfectly. However, when my wife goes through a car wash the cover comes off the tire. We have not had this problem on the road or highway."
Would you recomend this for a black car? I've seen so many complaints about using this on a black colored car.,My Wrangler tire size is 31/10.5r15.  I bought the X-large tire cover and there is no sag whatsoever.  Hope this helps.
"I have a 2001 Acura MDX, will these chains fit?",Measure the tire and go a size larger would be my rec. as my mud tires were measured and the size formula was to small.
My kit came without printed instructions.  I can't find anyplace to get them without buying another kit.  Can anyone mail a copy to me in the USA?,"Jeep Wrangler with tire size 225/75R16.  Besttop - Used 61029-15.  It was REAL tight so I think it would fit perfect with a 15"" wheel"
"If you had to buy a replacement bulb, what is the bulb part number? (192, 1182, 1142, 921, etc.)",The stock 225/75-R16 on my '10 Unlimited fit great with the medium size.
will these fit a 1998Lexus ls400,"Ok, I did order these and found out there are two springs in each kit.  So you only need to place an order for 1 and you will get two springs and everything you need."
Does it fit 2005 Chevrolet Avalanche 1500,That's price for a pair.
Is this the upstream or downstream sensor for the 2004 Toyota Sequoia?,the 2000 lbs springs are about 4 inches in diameter by 8 inches high as also the 1500 lbs ones...the 2000 lbs springs added on the rear of a 4000 pound car (1969 dodge charger with tired saggy leaf springs) added about 2 inches in ride height but were too hard of a ride to use ...The 1500 lbs springs are perfect with 1 1/2 inch ride height increase and great ride with no spring noise...
How many amps is it?,"Not sure of dimensions, they fit any truck that has leaf springs only. You will have to jack the vehicle up from the bumper, then bolt springs in place. It adds another ton to carrying . The vehicle doesn't bounce as much when going over rough roads."
"1 order come with 1 pair of rotors or just 1 rotor? Help,any one ? THX",howdy you would mount the springs just below the frame rail so when the vehicle squats from a load the springs will pick it up..
what can you use to secure it in the car?,Any place between the rear end and the tire. Just so it don't effect any brake lines.
What is the input and output thread size?,"On the axle tube directly under the frame hump. There should be a rubber bumper stop/cushion in the top of the hump. The rubber stopper usually fits to some degree inside the top of the coil helper spring, it does not have to be perfect."
WHERE DOES IT GO ON 1990 ACCORD,"At the leaf spring on the axle itself. Lost one spring due to driving over a curb. Had to buy another set. They really hold up to their weight, but not to the axle."
does it fit a 2014 odessey,"on leif springs , it goes between axle and spring, on coil springs ,Dodges, you can't use the u bolts, there is a rubber attachment on body that coil fits, then bolt from top with bar, you will have to drill hole in bar and bolt to rubber from top."
Can this be used for the tailgate window on a 4Runner?,not too difficult if you're mechanically inclined and have a jack and some tools
is this gas filled strut?,yes it is easy to install====  but jack it up all the way one side at a time==place under rubber bumpers== keep clamp a way from the brake lines! make sure the clamp is tight==after you drive it check clamp!!!      enjoy
these ball joints adjustable for front end alignment ?,"Yes,  These are very easy to install.  Just make sure you tighten U-bolt nuts evenly and stay clear of the brake lines."
does this come with the air line kit?,They are reasonably easy to install.  You need to jack the truck up by the frame on each side to make room to install the springs between the axle and the frame and make sure you do not leave the steel brake lines underneath the u-bolts.  I am a retired ASE Master Mechanic but it does not require that kind of experience to install these properly.  Hope that helps.
for the Monroe 37203 the sell is a the pair or single sense absorber?,Very easy to install with basic skills...your vehicle needs to be jacked up a bit to fit the spring between the frame and axle...then put the clamps  (!check to see that the brake lines is NOT under the clamps!) tighten the clamps and lower the vehicle. Your ready for some Dukes of Hazzard style jumps...just kidding...besides you would need a 69 Charger.
Is this for the front or rear,Very easy
Is this backing plate for a9inch or a 10inch,Yes they were easy to install.  I needed to buy bigger U bolts for my particular truck but they were easy to install.  I take mine on and off as needed.
2010 Corolla LE 1.8 liter?,Very simple to install. But I did find it easier to get one nut put on the U clamps and then cut the extra length of the U clamps based off of that new measurement.  So that your not having to spend 30 mins trying to thread the nuts on because the U clamps are universal to fit other trucks. Plus I like the load it can handle and unlike an add a leaf set I like how it doesn't change the vehicles handling.
Who makes this sensor please,"yes they just go on the axle and a ubolt bolts them onto the axle,very easy"
is the stock one 2 or 3 row? and is this the same?,Easy to install but you need large u-bolts and plates to set the coil spring good
Will this cap work on a Buick Onclave?,It was easy for me to install. I raised the frame off the rear differential just enough to install the coil and put the u-bolt on. Then I install the second one the same way.
will it pass the co2 emission test in Europe? Euro2-3 maybe?,IT TOOK TEN MINITES IN THE DRIVEWAY
My module has quit working how do I file a warranty claim? I bought it in June 2013,"Yes, very easy.  I've installed several of them.  They do not fit the Dodge Caravans however, because of the axle design."
will it fit a 1999 chevy s10?,"Hey John: These are extremely easy to install,just 2 u_bolts around the differential...very easy!!!"
"Which size fits a 2013 Dodge Dart better, Standard or Jumbo?",what are the u-bolts dimensions?  and what are the springs dimensions?
im looking for the rear wiper or refill for a 2008 entorauge.,I understand your concern. I have sidelined these mirrors for a different set which I like better and attach real well on the outside mirrors. These are not the typical tpe that rubber band on. Also with the CIPA 11650 was a wind noise from the strap.
Did you see an increase in MPG over a reasonable length of time?,"No problem with water, these are the best. a little vibration, but not enough to be of concern..I did put those little bullet mirrors on it for added view. You won't find a better deal, unless you spend $38,000 for a new truck with real hauling mirrors built in....."
What is the mix ratio for 5 gal of gas?,We drove for several hours in the rain last week and we had no water in the doors. Hope this helps
does it fit the mazda b 3000 bed?,The small amount of water slipping thru the gaps will drain out of weep holes installed on the bottom of the doors.  So this should be no problem.
i bought 2 15664 oxgen sensors and 215716 oxgen sensers and mortor light cam back on what do i do,Not at all .. haven't noticed any water - used now for several trips - plenty of nasty weather!
"I have a 2012 Ford F-250 crewcab, any recommendations on where to mount the compressor?",Factory doors on a '03 Silverado. No rust! I thought all doors had openings or weep holes.
is all three u getting,No
Will these fit my 2005 VW Passat GLS TDI (diesel) 2.0L engine?,No.
"Hi i would like to know if fits  an audi TT 2005 Turbo 1.8 base,includes the  pressure plate, disc, pilot  bearing , steering weel and alignment tool?",I use these on my 95 Ford F250 without any problem. The only problem I've heard of is on some SUVs' the rubber moulding at the bottom of the door impedes installation.
Will these fit on a 2006 Toyota Tacoma?,It may if you have a straight wedge
"does it come with the tube, or just what it shows on the picture?",These are adjustable and should work on just about any vehicle.  I use them my GMC Acadia. I like them because they're so easy to put on; and they stay secure. Very little vibration.
Are these mirrors power and will they work with memory functions?  Do they have the turn signal indicator built into the glass or case?,"Since I don't have an 89 Chevy Pickup I can't say for sure however, looking at the design, it should work on most pickups. I'm really happy with my set of two."
Are these genuine Mobil 1 oil filters?  The discount from retail is enough to get me worried whether they are real Mobil1 or not.,"Steve, not for sure about the 1989 Pick-up, but I switch mine back and forth from the 1994 Dodge 2500 and the 2008 Nitro with ease. I did add a 12"" piece of 1/2 in pvc to the downleg to get the mirrors level on the big truck."
"I need a window motor for the driver side rear door. Will this work? If not, what is the exact item I need?","I have them for my 1972 GMC, and They will work on your '89 I'm sure of that."
Will this sensor work on both right and left upstream or pre- cat position,"I don't see why not. The lateral top mount hooks over the ledge where the door window rolls up and down from, while the bottom strap with clip extends down the door panel and hooks under it at the base, ratcheting it taunt. What keeps it sturdy and in position is the pressure from the window glass on top so you may not want these if you like to drive with your windows completely down. They are designed to put on then off when not towing. There are other more permanent options available for US trucks as I recall when searching for towing mirrors for my 06 Tundra. Good luck."
What size Metric Bolt is used?,I don't know
will the air bags fit a 2005 dodge ram 1500 4 dr. 4x4 short box.,I use the mirrors on my 2009 Envoy.  They hook on the door at the window and the bottom of the door. I believe they will work on any vehicle door.  And the extension arm allows for great visibility down both sides of my travel trailer.  Hope this is helpful.
will this work on my 2012 Ram with the spray on bed coating?,"I expect that these mirrors will work on any vehicle with a non-fixed or hard sealed drivers or passenger window.  In other words,  this mirror clips into the window seal or track at the bottom of the window and the adjustment strap clips to the bottom of the door.  I am using these mirrors on a 2003 Ford Explorer Sport Trac, and they also fit on my Tacoma, and F-250."
Will these fit a 2003 Tahoe?,"You have to order one for each side.  By the way, these mirrors provide much better vision than the fender mounts."
What is the thickness of these materials and all your other gaskets,Need to order two although they are interchangeable side to side
What is the maximum lift height and does this jack have a plastic carrying case?,"Single unit, order 2 if you need one for each side."
Do i need this strut boot for the complete Sensen Shock Struts (i.e both the front and the rear)?,"This is a single unit. You would have to order 2, but it's worth it, if like us you can't use the ones that mount on the wing mirrors."
does this item comes in 2 pair or individual?? I just purchased KYB 741035 and 741036 AGX  for my 2000 miata. 2 of the above would be all i need or?,Order 2
Does this really work?,No not a set
Is this the 10295 or 10296? The difference it important and I want to be sure.,you need to order 2
Does this fit a toyota 2002 highlander base trim model?,You have to order 2 Connie G
will it fit a le 2012 toyota camry,They came as a set. Did not work for us and are on a shelf in the garage.
What if the outdoor furniture piece has been painted but rust is coming through the paint? Do we have to strip the piece first?,"Hi Robert,I have two canvas bags, I put one in each and hang them in my storage shed. This way I don't have to re-adjust them each time."
